ingredient_name,allergen_info,health_conditions,Not_Suitable_for_Diets,description
Malted Milk,Milk,Lactose Intolerance,"Vegan, Paleo","Milk powder mixed with malted barley, used in shakes."
Malt Powder,Milk,0,"Vegan, Paleo","A powder made from malted grains, used in beverages."
Milk Chocolate,Milk,"Lactose Intolerance, Diabetes","Vegan, Paleo, Low-Carb, Keto, Atkins","Chocolate containing milk solids, sweeter than dark chocolate."
White Chocolate,Milk,"Lactose Intolerance, Diabetes","Vegan, Paleo, Low-Carb, Keto, Atkins","A chocolate derivative without cocoa solids, made with milk and sugar."
Caramel,Milk,Diabetes,"Vegan, Paleo","A sugary dairy-based confection, used in desserts."
Dulce de Leche,Milk,"Lactose Intolerance, Diabetes","Vegan, Paleo, Low-Carb, Keto, Atkins",A caramel-like sauce made from sweetened condensed milk.
Tres Leches,Milk,"Lactose Intolerance, Diabetes","Vegan, Paleo, Low-Carb, Keto, Atkins",A Latin American cake soaked in three types of milk.
Sweet Cream,Milk,"Lactose Intolerance, High Cholesterol","Vegan, Paleo","The fatty portion of milk, often used in desserts."
Cultured Dairy Products,Milk,Lactose Intolerance,"Vegan, Paleo","Dairy items fermented with bacteria, like yogurt and kefir."
Rennet,Milk,0,"Vegan, Vegetarian","An enzyme used in cheese-making, can be animal- or plant-based."
Lactose-Free Milk,Milk,0,"Vegan, Paleo",Milk treated to break down lactose for easier digestion.
Casein Hydrolysate,Milk,0,"Vegan, Paleo","A processed form of casein, used in hypoallergenic formulas."
Butterfat,Milk,High Cholesterol,"Vegan, Paleo","The natural fat in milk, used in butter and cream."
Anhydrous Milk Fat,Milk,High Cholesterol,"Vegan, Paleo","A concentrated form of milk fat, used in food production."
Cheese Cultures,Milk,0,"Vegan, Paleo",Bacteria used in cheese-making to develop flavor.
Enzyme-Modified Dairy Ingredients,Milk,0,"Vegan, Paleo",Processed dairy used to enhance flavor.
Milk Fat,Milk,High Cholesterol,"Vegan, Paleo","The fat portion of milk, used in dairy products."
Dairy-Based Protein Powders,Milk,Lactose Intolerance,"Vegan, Paleo",Supplements made from whey or casein.
Dairy Creamer,Milk,"Lactose Intolerance, High Cholesterol","Vegan, Paleo",A milk-derived additive for coffee and tea.
Dairy Whiteners,Milk,Lactose Intolerance,"Vegan, Paleo",Powdered milk products used in beverages.
Dairy-Based Spreads,Milk,"Lactose Intolerance, High Cholesterol","Vegan, Paleo",Butter-like spreads made from milk fat.
Artificial Butter Flavor,Milk,0,"Vegan, Paleo",A synthetic dairy-like flavoring.
Artificial Cheese Flavor,Milk,0,"Vegan, Paleo","A synthetic or processed cheese-like flavoring made from milk-derived or non-dairy ingredients, used in snacks and processed foods."
Sour Milk Solids,Milk,Lactose Intolerance,"Vegan, Paleo","Dried milk components from soured or fermented milk, used in baking and processed foods."
Recombined Milk,Milk,Lactose Intolerance,"Vegan, Paleo","Milk created by mixing milk fat, non-fat milk solids, and water, often used in regions where fresh milk is scarce."
Ultra-Filtered Milk,Milk,Lactose Intolerance,"Vegan, Paleo","Milk that undergoes a filtration process to remove water and lactose, making it higher in protein and lower in sugar."
Toned Milk,Milk,Lactose Intolerance,"Vegan, Paleo","Milk with reduced fat content, achieved by adding skimmed milk or water to whole milk, commonly used in India."
Skimmed Milk Powder,Milk,Lactose Intolerance,"Vegan, Paleo","Dehydrated skim milk with little to no fat, used in food production and baking."
Acid Whey,Milk,Lactose Intolerance,"Vegan, Paleo","A byproduct of yogurt and soft cheese production, high in lactose and minerals, sometimes used in animal feed or probiotic drinks."
Sweet Whey,Milk,Lactose Intolerance,"Vegan, Paleo","A byproduct of hard cheese-making, containing more lactose and used in protein powders, infant formula, and processed foods."
Milk Protein Concentrate,Milk,Lactose Intolerance,"Vegan, Paleo","A processed milk ingredient with higher protein content, used in protein supplements, dairy products, and processed foods."
Lactoferrin,Milk,0,"Vegan, Paleo","A protein found in milk that has antimicrobial and immune-boosting properties, often used in infant formula and supplements."
Lactulose,Milk,0,"Vegan, Paleo","A sugar derived from lactose, used as a mild laxative and prebiotic for gut health."
Sweet Whey Powder,Milk,Lactose Intolerance,"Vegan, Paleo","A powdered form of sweet whey, used in baking, dairy products, and nutritional supplements."
Cultured Butter,Milk,Lactose Intolerance,"Vegan, Paleo","Butter made from fermented cream, contains probiotics and has a richer flavor."
Reduced-Fat Cheese,Milk,Lactose Intolerance,"Vegan, Paleo","Cheese with lower fat content, but may contain added ingredients to maintain texture."
Salmon,Fish,0,"Vegan, Vegetarian","Rich in omega-3 fatty acids, protein, and vitamins. Supports heart and brain health."
Tuna,Fish,0,"Vegan, Vegetarian","High in protein and omega-3s, but some varieties may contain mercury."
Shrimp,Shellfish,0,"Vegan, Vegetarian, Paleo","Low in calories, high in protein and selenium. Some concerns with cholesterol."
Lobster,Shellfish,0,"Vegan, Vegetarian, Paleo",High in protein and minerals but contains cholesterol and sodium.
Crab,Shellfish,0,"Vegan, Vegetarian, Paleo",Good source of protein and omega-3s but may be high in sodium.
Cod,Fish,0,"Vegan, Vegetarian","Lean white fish, high in protein, vitamins, and minerals."
Haddock,Fish,0,"Vegan, Vegetarian","Similar to cod, lean protein with essential nutrients."
Mackerel,Fish,Heart Disease,"Vegan, Vegetarian",Fatty fish high in omega-3s but may contain high mercury levels.
Sardines,Fish,"Heart Disease, Gout","Vegan, Vegetarian","Rich in omega-3s and calcium, lower in mercury than larger fish."
Anchovies,Fish,"Heart Disease, Gout","Vegan, Vegetarian","Small fish high in healthy fats, vitamins, and protein."
Trout,Fish,0,"Vegan, Vegetarian",Omega-3 rich fish with high protein and essential minerals.
Oysters,Shellfish,0,"Vegan, Vegetarian, Paleo","High in zinc, iron, and omega-3s but can be high in cholesterol."
Mussels,Shellfish,Gout,"Vegan, Vegetarian, Paleo","Rich in protein, B vitamins, and minerals, beneficial for heart health."
Clams,Shellfish,0,"Vegan, Vegetarian, Paleo","High in iron and vitamin B12, good for anemia prevention."
Squid,Shellfish,0,"Vegan, Vegetarian, Paleo","Good protein source but often deep-fried, which increases unhealthy fats."
Octopus,Shellfish,0,"Vegan, Vegetarian, Paleo",High in lean protein and minerals but can contain cholesterol.
Scallops,Shellfish,0,"Vegan, Vegetarian, Paleo",Lean protein source with essential vitamins but high in cholesterol.
Snapper,Fish,0,"Vegan, Vegetarian","Lean white fish with mild flavor, good source of protein."
Tilapia,Fish,0,"Vegan, Vegetarian",Low in fat but has less omega-3 than other fish.
Halibut,Fish,0,"Vegan, Vegetarian",Lean fish with healthy fats but may have moderate mercury levels.
Swordfish,Fish,Heart Disease,"Vegan, Vegetarian",High in protein but also high in mercury. Should be consumed in moderation.
Catfish,Fish,0,"Vegan, Vegetarian",Low in fat and high in protein but farmed varieties may have contaminants.
Bass,Fish,0,"Vegan, Vegetarian",Good protein source but some species may have moderate mercury levels.
Prawns,Shellfish,0,"Vegan, Vegetarian, Paleo","Similar to shrimp, high in protein but may contain cholesterol."
Eel,Fish,0,"Vegan, Vegetarian",High in omega-3s and protein but may be high in mercury.
Perch,Fish,0,"Vegan, Vegetarian",Lean fish rich in protein and omega-3s.
Caviar,Fish,"Heart Disease, Gout","Vegan, Vegetarian, Paleo",High in omega-3s but also high in sodium and cholesterol.
Seaweed,0,Thyroid Disease,0,"Nutrient-dense, rich in iodine and antioxidants. Supports thyroid function."
Krill,Shellfish,0,"Vegan, Vegetarian, Paleo",Small crustaceans rich in omega-3s and antioxidants.
Pollock,Fish,0,"Vegan, Vegetarian","Lean white fish, often used in processed fish products."
Flounder,Fish,0,"Vegan, Vegetarian","Mild-flavored white fish, high in protein and low in fat."
Barramundi,Fish,0,"Vegan, Vegetarian","Low in mercury, high in protein and omega-3s."
Rockfish,Fish,0,"Vegan, Vegetarian","Lean fish with firm texture, but some species have higher mercury levels."
Grouper,Fish,0,"Vegan, Vegetarian",Mild-tasting fish with good protein but may contain moderate mercury.
Monkfish,Fish,0,"Vegan, Vegetarian","Lean protein source with a mild, lobster-like taste."
John Dory,Fish,0,"Vegan, Vegetarian","Low-fat fish, high in protein and minerals."
Bluefish,Fish,Heart Disease,"Vegan, Vegetarian",Omega-3 rich but spoils quickly and may have contaminants.
Herring,Fish,Heart Disease,"Vegan, Vegetarian","High in omega-3s, vitamin D, and selenium."
Yellowtail,Fish,0,"Vegan, Vegetarian","Common in sushi, rich in omega-3s but can have moderate mercury."
Redfish,Fish,0,"Vegan, Vegetarian",Good source of protein and omega-3s.
Mahi Mahi,Fish,0,"Vegan, Vegetarian","Lean fish, rich in protein and low in mercury."
Marlin,Fish,Heart Disease,"Vegan, Vegetarian","High in mercury, should be avoided."
Pike,Fish,0,"Vegan, Vegetarian","Lean freshwater fish, good for protein intake."
Shark,Fish,Heart Disease,"Vegan, Vegetarian","High in mercury, not recommended for frequent consumption."
Skate,Fish,0,"Vegan, Vegetarian","Unique flavor, low-fat, but may contain ammonia if not fresh."
Sturgeon,Fish,"Heart Disease, Gout","Vegan, Vegetarian",Good protein source but some species are overfished.
Wahoo,Fish,Heart Disease,"Vegan, Vegetarian","Fast-growing fish, good protein but can have moderate mercury levels."
Whitefish,Fish,0,"Vegan, Vegetarian","Mild-flavored fish, rich in protein and omega-3s."
Tilefish,Fish,Heart Disease,"Vegan, Vegetarian","One of the highest mercury-containing fish, should be avoided."
Cuttlefish,Shellfish,0,"Vegan, Vegetarian, Paleo","Similar to squid, good protein source."
Cane Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Regular sugar from sugarcane, high in calories and spikes blood sugar."
Beet Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Sugar derived from beets, similar to cane sugar."
Coconut Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH",Lower glycemic index than cane sugar but still high in calories.
Date Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made from ground dates, retains some fiber but is still a sugar."
Maple Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Derived from maple syrup, contains some minerals but is still sugar."
Palm Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Similar to coconut sugar, lower glycemic index but still sugar."
Muscovado Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Unrefined cane sugar with molasses, has trace minerals but is still sugar."
Turbinado Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Partially refined raw sugar, slightly better than white sugar."
Demerara Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH",Less processed sugar with a caramel-like flavor.
Raw Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Minimally processed sugar, but still contributes to blood sugar spikes."
Aspartame,0,0,Paleo,"Artificial sweetener, controversial due to potential health concerns."
Sucralose,0,0,Paleo,"Artificial sweetener, may affect gut health in some people."
Saccharin,0,0,Paleo,"Oldest artificial sweetener, some concerns about long-term effects."
Acesulfame Potassium,0,0,Paleo,"Artificial sweetener, often used in combination with other sweeteners."
Neotame,0,0,Paleo,"Artificial sweetener, much sweeter than sugar, limited research on effects."
Advantame,0,0,Paleo,"Newer artificial sweetener, highly potent, lacks long-term research."
Stevia Extract,0,0,0,"Natural sweetener with no calories, often used as a sugar substitute."
Monk Fruit Extract,0,0,0,"Natural sweetener, zero calories, does not spike blood sugar."
Luo Han Guo Extract,0,0,0,"Natural sweetener from monk fruit, zero-calorie, does not spike blood sugar."
Thaumatin,0,0,0,"Natural sweet protein from African katemfe fruit, used as a low-calorie sweetener."
High Fructose Corn Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH, Paleo","Processed sugar from corn starch, associated with obesity and metabolic issues."
Corn Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH, Paleo","Liquid sweetener made from corn starch, high in glucose, causes blood sugar spikes."
Brown Rice Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made from fermented brown rice, high in maltose, can spike blood sugar."
Maple Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Natural sweetener from maple tree sap, contains some minerals but still sugar."
Agave Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Derived from the agave plant, has a low glycemic index but high in fructose."
Date Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made from dates, retains some fiber and nutrients but still a sugar source."
Barley Malt Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made from sprouted barley, thick and rich in maltose, slower to digest than refined sugar."
Golden Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Inverted sugar syrup, similar to honey but high in sugar content."
Sorghum Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made from sorghum grain, contains antioxidants but is high in sugar."
Birch Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Extracted from birch trees, contains minerals but is still sugar."
Apple Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made by reducing apple juice, contains natural fruit sugars."
Pear Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Similar to apple syrup, concentrated pear juice high in fructose."
Grape Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Extracted from grapes, contains natural sugars and antioxidants."
Raisin Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made from dried grapes, retains some nutrients but is high in sugar."
Pomegranate Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Concentrated pomegranate juice, rich in antioxidants but high in sugar."
Carob Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made from carob pods, has a naturally sweet taste and some fiber."
Blackcurrant Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH",Rich in vitamin C and antioxidants but high in sugar.
Mulberry Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Extracted from mulberries, contains antioxidants but is sugary."
Prune Juice Concentrate,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made from prunes, high in fiber but also natural sugars."
Fig Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made from figs, retains some fiber but is still high in sugar."
Xylitol,0,0,Paleo,"Sugar alcohol, low glycemic impact, beneficial for dental health."
Erythritol,0,0,Paleo,"Sugar alcohol with zero calories, does not affect blood sugar, may cause bloating in high amounts."
Maltitol,0,0,Paleo,"Sugar alcohol, lower calorie than sugar but can raise blood sugar slightly."
Sorbitol,0,0,Paleo,"Sugar alcohol, commonly used in sugar-free products, can cause digestive issues."
Mannitol,0,0,Paleo,"Sugar alcohol, used as a sweetener but can have a laxative effect."
Isomalt,0,0,Paleo,"Sugar alcohol, used in sugar-free candies, may cause bloating."
Lactitol,Milk,0,Paleo,"Sugar alcohol derived from milk, used as a sweetener and laxative."
Hydrogenated Starch Hydrolysate,0,0,Paleo,"Partially hydrogenated sugar alcohol, used in sugar-free products, affects blood sugar mildly."
Glycerol,0,0,0,A sugar alcohol used as a sweetener and humectant in food and cosmetics.
Allulose,0,0,0,"A low-calorie rare sugar, does not spike blood sugar and is safe for diabetics."
Honey,0,Diabetes,"Vegan, Low-Carb, Keto, Atkins","Natural sweetener produced by bees, contains antioxidants and enzymes."
Raw Honey,0,Diabetes,"Vegan, Low-Carb, Keto, Atkins","Unprocessed honey, retains natural enzymes and nutrients."
Wildflower Honey,0,Diabetes,"Vegan, Low-Carb, Keto, Atkins","Honey from various wildflowers, has a complex flavor profile."
Clover Honey,0,Diabetes,"Vegan, Low-Carb, Keto, Atkins","Light, mild honey from clover flowers, commonly used."
Buckwheat Honey,0,Diabetes,"Vegan, Low-Carb, Keto, Atkins","Dark, strong-flavored honey with high antioxidant content."
Manuka Honey,0,Diabetes,"Vegan, Low-Carb, Keto, Atkins","Medicinal honey from New Zealand, known for its antibacterial properties."
Acacia Honey,0,Diabetes,"Vegan, Low-Carb, Keto, Atkins","Light-colored honey with a high fructose content, slow to crystallize."
Orange Blossom Honey,0,Diabetes,"Vegan, Low-Carb, Keto, Atkins","Honey with a citrusy aroma, collected from orange tree blossoms."
Tupelo Honey,0,Diabetes,"Vegan, Low-Carb, Keto, Atkins","Premium honey from tupelo trees, does not crystallize easily."
Eucalyptus Honey,0,Diabetes,"Vegan, Low-Carb, Keto, Atkins","Honey with a mild herbal taste, often used for soothing coughs."
Blackstrap Molasses,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Darkest, most nutrient-rich molasses, high in iron and calcium."
Cane Molasses,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","A byproduct of sugarcane processing, used in baking and cooking."
Light Molasses,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","The first boiling of sugarcane juice, mild in flavor."
Dark Molasses,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","The second boiling of sugarcane juice, stronger in flavor."
Sulfured Molasses,0,Diabetes,"Low-Carb, Keto, Atkins, DASH",Molasses treated with sulfur dioxide as a preservative.
Unsulfured Molasses,0,Diabetes,"Low-Carb, Keto, Atkins, DASH",More natural molasses without sulfur treatment.
Treacle,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","British term for molasses, often used in baking."
Golden Molasses,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Light-colored, mild molasses, less bitter than dark molasses."
Sorghum Molasses,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made from sorghum grain, similar to sugarcane molasses."
Beet Molasses,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Byproduct of sugar beet processing, used in animal feed and baking."
Powdered Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH",Finely ground sugar with added cornstarch to prevent clumping.
Confectioners' Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Another name for powdered sugar, used in icings and desserts."
Icing Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","British term for powdered sugar, used for cake decorating."
Castor Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Superfine granulated sugar, dissolves quickly."
Superfine Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Very fine granulated sugar, used in delicate desserts."
Light Brown Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH",White sugar mixed with a small amount of molasses.
Dark Brown Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Higher molasses content than light brown sugar, richer flavor."
Molasses Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Sugar that retains molasses, moist and rich in flavor."
Rock Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH",Large sugar crystals used in Asian cooking and tea.
Jaggery,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Unrefined sugar from sugarcane or palm sap, rich in minerals."
Caramelized Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Sugar that has been heated until it turns brown, used in desserts."
Burnt Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Overheated sugar, used for color and flavoring in baked goods."
Candy Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH",Large sugar crystals used in candy making and tea sweetening.
Panela,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Unrefined cane sugar popular in Latin America, similar to jaggery."
Piloncillo,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Mexican unrefined cane sugar, shaped into cones."
Rapadura Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Unrefined whole cane sugar, retains minerals."
Kokuto,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Okinawan brown sugar, naturally made and rich in minerals."
Bura Sugar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Indian unrefined sugar, similar to jaggery."
Palm Jaggery,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Unrefined sugar made from palm sap, mineral-rich."
Cane Jaggery,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Unrefined sugar from sugarcane juice, traditional in India."
Yacon Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Sweet syrup from the yacon root, low glycemic and prebiotic."
Inulin Syrup,0,0,0,"A prebiotic fiber-based syrup, good for gut health."
Chicory Root Syrup,0,0,0,"Naturally sweet syrup from chicory root, high in fiber."
Brown Malt Extract,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Sweet, malty syrup made from barley, used in brewing and baking."
Whey Permeate,Milk,Lactose Intolerance,"Vegan, Paleo",A dairy-derived sweetener from whey processing.
Coconut Nectar,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Sweet syrup made from coconut sap, mineral-rich."
Date Paste,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","A natural sweetener made by blending dates, fiber-rich."
Raisin Paste,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","Made from ground raisins, used as a natural sweetener in baking."
Tamarind Syrup,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","A sweet and tangy syrup made from tamarind pulp, used in beverages and cooking."
Panocha,0,Diabetes,"Low-Carb, Keto, Atkins, DASH","A traditional Mexican unrefined cane sugar, similar to piloncillo."
Soybean Oil,Soy,Heart Disease,"Paleo (controversial), Whole30","A widely used vegetable oil, high in omega-6 fatty acids."
Canola Oil,0,0,"Paleo (controversial), Whole30","A neutral-flavored oil, lower in saturated fats, but often highly processed."
Sunflower Oil,0,0,"Paleo (controversial), Whole30","A vegetable oil high in vitamin E, but can be high in omega-6."
Corn Oil,0,0,"Paleo (controversial), Whole30","A refined oil extracted from corn, often used for frying."
Palm Oil,0,Heart Disease,0,"A widely used oil, but linked to deforestation and high saturated fat."
Coconut Oil,0,Heart Disease,0,"A plant-based oil high in saturated fats, may benefit metabolism."
Olive Oil,0,0,0,A heart-healthy oil rich in monounsaturated fats and antioxidants.
Peanut Oil,Peanuts,0,"Paleo, Whole30","A high-heat cooking oil, commonly used in Asian cuisine."
Sesame Oil,Sesame,0,0,"A flavorful oil used in Asian cooking, contains antioxidants."
Safflower Oil,0,0,"Paleo (controversial), Whole30","A neutral-tasting oil, high in polyunsaturated fats."
Grapeseed Oil,0,0,"Paleo (controversial), Whole30","A light, high-smoke point oil, often refined and high in omega-6."
Avocado Oil,Avocado,0,0,"A nutrient-rich oil with high monounsaturated fats, good for cooking."
Butter,Milk,"Lactose Intolerance, Heart Disease","Vegan, Paleo","A dairy-based fat, contains natural saturated fats and vitamins."
Ghee,Milk,Heart Disease,"Vegan, Whole30 (if not grass-fed)","Clarified butter, free from lactose, used in Indian cuisine."
Lard,0,Heart Disease,"Vegan, Whole30","Rendered pig fat, once popular in cooking, contains healthy fats."
Tallow,0,Heart Disease,"Vegan, Whole30","Rendered beef or mutton fat, used in traditional cooking."
Duck Fat,0,Heart Disease,"Vegan, Whole30","A rich cooking fat with a distinct flavor, used in gourmet dishes."
Margarine,Soy,Heart Disease,"Paleo, Whole30","A butter substitute, often contains trans fats unless labeled otherwise."
Vegetable Shortening,Soy,Heart Disease,"Paleo, Whole30","A solid fat made from hydrogenated oils, used in baking."
Partially Hydrogenated Oils,Soy,Heart Disease,"Paleo, Whole30","Artificial trans fats, linked to heart disease."
Fully Hydrogenated Oils,Soy,Heart Disease,"Paleo, Whole30",More stable than partially hydrogenated oils but still highly processed.
Flaxseed Oil,0,0,0,"A plant-based oil rich in omega-3 fatty acids, good for heart health."
Hemp Seed Oil,0,0,0,"A nutritious oil high in omega-3 and omega-6, supports skin health."
Pumpkin Seed Oil,Pumpkin,0,0,A dark green oil rich in antioxidants and healthy fats.
Rice Bran Oil,0,0,"Paleo, Whole30","A high-smoke point oil, contains antioxidants but often refined."
Algal Oil,0,0,0,"A plant-based oil rich in DHA omega-3, often used in supplements."
Sodium Benzoate,0,0,"Whole30, Paleo","A common preservative used in sodas and processed foods, may cause hyperactivity."
Potassium Sorbate,0,0,"Whole30, Paleo",A preservative used to prevent mold and yeast growth in food.
Calcium Propionate,0,0,"Whole30, Paleo",A preservative used in baked goods to prevent mold growth.
BHA (Butylated Hydroxyanisole),0,0,"Whole30, Paleo","A synthetic antioxidant used in food preservation, possibly carcinogenic."
Sodium Nitrate,0,Heart Disease,"Whole30, Paleo","A curing agent in processed meats, linked to health risks."
MSG (Monosodium Glutamate),0,0,"Whole30, Paleo",A flavor enhancer that can trigger headaches in sensitive individuals.
Red 40,0,0,"Whole30, Paleo",A synthetic food dye linked to hyperactivity in children.
Yellow 5 (Tartrazine),0,0,"Whole30, Paleo",A food dye that may cause allergic reactions in some people.
Blue 1,0,0,"Whole30, Paleo","A synthetic food dye used in candies and drinks, potential health concerns."
Vanillin,0,0,"Whole30, Paleo","A synthetic vanilla flavoring, lacks the complexity of natural vanilla."
Xanthan Gum,0,0,"Whole30 (if derived from corn, soy, or wheat)","A thickening agent used in gluten-free foods, generally safe."
Lecithin,Soy,0,Whole30 (if derived from soy or egg yolks),"A natural emulsifier found in soy and eggs, used in chocolate and baked goods."
Guar Gum,0,0,Whole30,"A thickening agent derived from guar beans, high in soluble fiber."
Carrageenan,0,"Gastroesophageal Reflux Disease (GERD), Irritable Bowel Syndrome (IBS)","Whole30, Paleo","A seaweed-derived thickener, controversial due to potential digestive issues."
Polysorbate 80,0,0,"Whole30, Paleo","An emulsifier used in processed foods, may cause gut issues in excess."
Sodium Stearoyl Lactylate,0,0,"Whole30, Paleo",An emulsifier used in baked goods to improve texture.
Sodium Sulfite,0,0,"Whole30, Paleo","A preservative used in dried fruits and wines, may trigger allergies."
Propionic Acid,0,0,"Whole30, Paleo","A preservative found naturally in some foods, used in baked goods."
Benzoic Acid,0,0,"Whole30, Paleo",A preservative used in acidic foods and soft drinks.
Sodium Erythorbate,0,0,"Whole30, Paleo",An antioxidant used in processed meats to prevent spoilage.
TBHQ (Tertiary Butylhydroquinone),0,0,"Whole30, Paleo","A synthetic antioxidant used in processed foods, potential health risks."
Aspartame,0,0,Paleo,"An artificial sweetener used in diet sodas, linked to health concerns."
Saccharin,0,0,"Whole30, Paleo",An artificial sweetener with a very high sweetness level but potential health concerns.
Caramel Color,0,0,"Whole30, Paleo","A common food coloring used in sodas and sauces, can contain processing byproducts."
Titanium Dioxide,0,0,"Whole30, Paleo","A whitening agent used in food, linked to potential health risks."
Ethyl Butyrate,0,0,"Whole30, Paleo",A synthetic flavoring agent that provides a fruity aroma.
Modified Starch,0,0,Whole30,A processed starch used to improve texture and stability in foods.
Pectin,0,0,0,"A natural fiber found in fruits, used as a gelling agent in jams."
Sodium Alginate,0,0,0,"A thickener derived from seaweed, commonly used in molecular gastronomy."
Gellan Gum,0,0,0,A natural thickener and stabilizer used in plant-based milk alternatives.
Mono- and Diglycerides,0,0,Whole30,Emulsifiers used in baked goods and margarine to prevent oil separation.
Almonds,Tree Nuts,0,"Paleo, Whole30",A nutrient-rich nut high in vitamin E and healthy fats.
Cashews,Tree Nuts,0,"Paleo, Whole30",A creamy-textured nut high in magnesium and antioxidants.
Walnuts,Tree Nuts,0,"Paleo, Whole30",A brain-boosting nut rich in omega-3 fatty acids.
Pistachios,Tree Nuts,0,"Paleo, Whole30","A green nut high in fiber and protein, good for heart health."
Hazelnuts,Tree Nuts,0,"Paleo, Whole30","A nut commonly used in chocolate spreads, rich in healthy fats."
Pecans,Tree Nuts,0,"Paleo, Whole30",A buttery nut rich in antioxidants and heart-healthy fats.
Macadamia Nuts,Tree Nuts,0,"Paleo, Whole30","A high-fat nut with a creamy texture, good for keto diets."
Brazil Nuts,Tree Nuts,0,"Paleo, Whole30","One of the best sources of selenium, supports thyroid health."
Chestnuts,Tree Nuts,0,"Paleo, Whole30",A starchy nut lower in fat and higher in carbohydrates.
Pine Nuts (Pignolias),Tree Nuts,0,"Paleo, Whole30","A small nut used in pesto, high in monounsaturated fats."
Monkey Nuts (Peanuts),Peanuts,0,"Paleo, Whole30","Another name for peanuts, a legume high in protein."
Kola Nuts,Tree Nuts,0,"Paleo, Whole30","The nut used to flavor traditional cola beverages, contains caffeine."
Hickory Nuts,Tree Nuts,0,"Paleo, Whole30","A sweet and buttery nut, less commonly consumed."
